date,realtime_end,realtime_start,INDPRO
1920-05-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,5.5361
1920-05-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,5.5615
1920-05-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,5.5353
1920-05-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,5.5108
1920-06-01 00:00:00,1990-04-16 00:00:00,1990-01-01 00:00:00,11.3
1920-06-01 00:00:00,1997-01-26 00:00:00,1990-04-17 00:00:00,8.9
1920-06-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,8.467
1920-06-01 00:00:00,1999-08-16 00:00:00,1997-12-09 00:00:00,8.471
1920-06-01 00:00:00,2008-03-27 00:00:00,1999-08-17 00:00:00,
1920-06-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,6.0424
1920-06-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,6.0416
1920-06-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,5.3753
1920-06-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,5.3861
1920-06-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,5.3976
1920-06-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,5.3942
1920-06-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,5.395
1920-06-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,5.5918
1920-06-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,5.6174
1920-06-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,5.5909
1920-06-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,5.5662
1920-07-01 00:00:00,1990-04-16 00:00:00,1990-01-01 00:00:00,11.0
1920-07-01 00:00:00,1997-01-26 00:00:00,1990-04-17 00:00:00,8.6
1920-07-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,8.256
1920-07-01 00:00:00,1999-08-16 00:00:00,1997-12-09 00:00:00,8.26
1920-07-01 00:00:00,2008-03-27 00:00:00,1999-08-17 00:00:00,
1920-07-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,5.8921
1920-07-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,5.8913
1920-07-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,5.2415
1920-07-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,5.2522
1920-07-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,5.2633
1920-07-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,5.26
1920-07-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,5.2608
1920-07-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,5.4527
1920-07-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,5.4777
1920-07-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,5.4518
1920-07-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,5.4277
1920-08-01 00:00:00,1990-04-16 00:00:00,1990-01-01 00:00:00,11.1
1920-08-01 00:00:00,1997-01-26 00:00:00,1990-04-17 00:00:00,8.7
1920-08-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,8.298
1920-08-01 00:00:00,1999-08-16 00:00:00,1997-12-09 00:00:00,8.302
1920-08-01 00:00:00,2008-03-27 00:00:00,1999-08-17 00:00:00,
1920-08-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,5.9221
1920-08-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,5.9214
1920-08-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,5.2683
1920-08-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,5.279
1920-08-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,5.2902
1920-08-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,5.2869
1920-08-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,5.2876
1920-08-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,5.4805
1920-08-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,5.5056
1920-08-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,5.4797
