date,realtime_end,realtime_start,SPREAD
2016-06-01 00:00:00,2018-06-30,2016-06-30,1.37
2016-07-01 00:00:00,2018-06-30,2016-07-31,1.2
2016-08-01 00:00:00,2018-06-30,2016-08-31,1.26
2016-09-01 00:00:00,2018-06-30,2016-09-30,1.34
2016-10-01 00:00:00,2018-06-30,2016-10-31,1.43
2016-11-01 00:00:00,2018-06-30,2016-11-30,1.69
2016-12-01 00:00:00,2018-06-30,2016-12-31,1.98
2017-01-01 00:00:00,2018-06-30,2017-01-31,1.91
2017-02-01 00:00:00,2018-06-30,2017-02-28,1.89
2017-03-01 00:00:00,2018-06-30,2017-03-31,1.73
2017-04-01 00:00:00,2018-06-30,2017-04-30,1.49
2017-05-01 00:00:00,2018-06-30,2017-05-31,1.4
2017-06-01 00:00:00,2018-06-30,2017-06-30,1.19
2017-07-01 00:00:00,2018-06-30,2017-07-31,1.23
2017-08-01 00:00:00,2018-06-30,2017-08-31,1.18
2017-09-01 00:00:00,2018-06-30,2017-09-30,1.15
2017-10-01 00:00:00,2018-06-30,2017-10-31,1.27
2017-11-01 00:00:00,2018-06-30,2017-11-30,1.1
2017-12-01 00:00:00,2018-06-30,2017-12-31,1.06
2018-01-01 00:00:00,2018-06-30,2018-01-31,1.15
2018-02-01 00:00:00,2018-06-30,2018-02-28,1.27
2018-03-01 00:00:00,2018-06-30,2018-03-31,1.11
2018-04-01 00:00:00,2018-06-30,2018-04-30,1.08
2018-05-01 00:00:00,2018-06-30,2018-05-31,1.08
